,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Match Number,Alliance,Robot #,Team,Has Entry,No Show,Starting Position,Auto Primary Role,Auto Secondary Role,Auto Fuel %,Auto Fuel % Alliance,Auto Fuel Alliance,Auto Fuel Team,Auto % Shooting,Auto Max Fuel Possible,Won Auto,Transition Primary Role,Transition Secondary Role,Transition Fuel %,Transition Fuel % Alliance,Transition Fuel Alliance,Transition Fuel Team,Transition % Shooting,Transition Max Fuel Possible,Shift 1 Primary Role,Shift 1 Secondary Role,Shift 1 Fuel %,Shift 1 Fuel % Alliance,Shift 1 Fuel Alliance,Shift 1 Fuel Team,Shift 1 % Shooting,Shift 1 Max Fuel Possible,Shift 2 Primary Role,Shift 2 Secondary Role,Shift 2 Fuel %,Shift 2 Fuel % Alliance,Shift 2 Fuel Alliance,Shift 2 Fuel Team,Shift 2 % Shooting,Shift 2 Max Fuel Possible,Shift 3 Primary Role,Shift 3 Secondary Role,Shift 3 Fuel %,Shift 3 Fuel % Alliance,Shift 3 Fuel Alliance,Shift 3 Fuel Team,Shift 3 % Shooting,Shift 3 Max Fuel Possible,Shift 4 Primary Role,Shift 4 Secondary Role,Shift 4 Fuel %,Shift 4 Fuel % Alliance,Shift 4 Fuel Alliance,Shift 4 Fuel Team,Shift 4 % Shooting,Shift 4 Max Fuel Possible,Endgame Primary Role,Endgame Secondary Role,Endgame Fuel %,Endgame Fuel % Alliance,Endgame Fuel Alliance,Endgame Fuel Team,Endgame % Shooting,Endgame Max Fuel Possible,Tele-Op Max Fuel Possible,Total Fuel Scored,Auto Climb Attempt,Auto Climb Success,Tele-Op Climb Attempt,Tele-Op Climb Success,Shooter Rating,Passer Rating,Intake Rating,Driver Rating,Defense Avoidance Rating,Defense Rating,Notes,Recent Match
48,Blue,2,1086,1,,Left Bump,Intake from Neutral Zone,Score,10%,100%,55,5.50,33.3%,16.52,FALSE,Intake from Neutral Zone,Score,40%,100%,1,0.40,33.3%,1.20,Score,Intake from Neutral Zone,60%,100%,112,67.20,66.7%,100.75,Intake from Neutral Zone,Score,0%,100%,0,0.00,33.3%,0.00,Score,Score,0%,100%,79,0.00,100%,0.00,Intake from Neutral Zone,Intake from Neutral Zone,0%,100%,0,0.00,0%,0.00,Score,Score,50%,100%,146,73.00,100%,73.00,191.47,146.10,Not Attempted,None,Not Attempted,None,4,0,4,4,0,0,clutched up at the end,TRUE
48,Blue,3,10224,0,,,,,0%,100%,55,0.00,0%,0.00,FALSE,,,0%,100%,1,0.00,0%,0.00,,,0%,100%,112,0.00,0%,0.00,,,0%,100%,0,0.00,0%,0.00,,,0%,100%,79,0.00,0%,0.00,,,0%,100%,0,0.00,0%,0.00,,,0%,100%,146,0.00,0%,0.00,0.00,0.00,,None,,None,,,,,,,,TRUE
48,Red,1,2537,1,,Left Trench,Idle,Idle,0%,100%,69,0.00,0%,0.00,TRUE,Idle,Idle,0%,90%,20,0.00,0%,0.00,Idle,Pass,0%,90%,0,0.00,0%,0.00,Pass,Defense,0%,110%,96,0.00,0%,0.00,Defense,Defense,0%,0%,0,0.00,0%,0.00,Defense,Defense,0%,110%,106,0.00,0%,0.00,Pass,Pass,0%,100%,92,0.00,0%,0.00,0.00,0.00,Not Attempted,None,Not Attempted,None,0,4,0,4,0,4,Good defense ,FALSE
48,Red,2,4541,1,,Hub,Score,None,20%,100%,69,13.80,100%,13.80,TRUE,Idle,None,20%,90%,20,4.44,0%,0.00,Intake from Neutral Zone,None,20%,90%,0,0.00,0%,0.00,Score,None,30%,110%,96,26.18,100%,26.18,Intake from Neutral Zone,None,0%,0%,0,0.00,0%,0.00,Score,None,30%,110%,106,28.91,100%,28.91,Score,None,30%,100%,92,27.60,100%,27.60,96.49,100.94,Not Attempted,None,Not Attempted,None,2,0,1,1,0,0,Slow intaking and shooting accuracy was high kind of but requires to be refilled a lot because of the small hopper size.,FALSE
48,Red,3,5338,1,true,Right Trench,Score,None,80%,100%,69,55.20,100%,55.20,TRUE,Score,None,70%,90%,20,15.56,100%,15.56,Intake from Neutral Zone,None,70%,90%,0,0.00,0%,0.00,Score,None,80%,110%,96,69.82,100%,69.82,Intake from Neutral Zone,None,0%,0%,0,0.00,0%,0.00,Score,None,80%,110%,106,77.09,100%,77.09,Score,None,70%,100%,92,64.40,100%,64.40,282.06,282.06,Not Attempted,None,Not Attempted,None,5,0,5,5,0,0,,FALSE
49,Blue,1,4472,1,,Hub,Score,None,30%,100%,84,25.20,100%,25.20,FALSE,Intake from Neutral Zone,None,0%,100%,16,0.00,0%,0.00,Pass,Intake from Neutral Zone,0%,100%,56,0.00,0%,0.00,Pass,Defense,0%,100%,0,0.00,0%,0.00,Pass,None,0%,100%,45,0.00,0%,0.00,Defense,None,0%,100%,0,0.00,0%,0.00,Pass,Defense,0%,100%,16,0.00,0%,0.00,25.20,25.20,Not Attempted,None,Not Attempted,None,3,5,3,3,0,2,Great passing. Shooter is pretty good.,FALSE
49,Blue,2,1731,1,,Right Trench,Intake from Neutral Zone,Score,60%,100%,84,50.40,33.3%,151.35,FALSE,Intake from Neutral Zone,Score,50%,100%,16,8.00,33.3%,24.02,Intake from Neutral Zone,Score,40%,100%,56,22.40,33.3%,67.27,Intake from Neutral Zone,Pass,0%,100%,0,0.00,0%,0.00,Intake from Neutral Zone,Score,0%,100%,45,0.00,33.3%,0.00,Intake from Neutral Zone,Intake from Neutral Zone,0%,100%,0,0.00,0%,0.00,Score,Pass,30%,100%,16,4.80,66.7%,7.20,249.84,85.60,Not Attempted,None,Not Attempted,None,4,4,4,4,3,0,"got their intake smashed and kept cooking, shooter didnt work at  end though",FALSE
49,Blue,3,888,0,,,,,0%,100%,84,0.00,0%,0.00,FALSE,,,0%,100%,16,0.00,0%,0.00,,,0%,100%,56,0.00,0%,0.00,,,0%,100%,0,0.00,0%,0.00,,,0%,100%,45,0.00,0%,0.00,,,0%,100%,0,0.00,0%,0.00,,,0%,100%,16,0.00,0%,0.00,0.00,0.00,,None,,None,,,,,,,,TRUE
49,Red,1,836,1,,Right Trench,Intake from Neutral Zone,Score,40%,90%,112,49.78,33.3%,149.48,TRUE,Score,Score,50%,100%,64,32.00,100%,32.00,Intake from Neutral Zone,Pass,0%,50%,0,0.00,0%,0.00,Score,Score,50%,100%,96,48.00,100%,48.00,Intake from Neutral Zone,Pass,0%,0%,0,0.00,0%,0.00,Score,Score,60%,70%,80,68.57,100%,68.57,Score,Intake from Neutral Zone,100%,140%,65,46.43,66.7%,69.61,367.66,244.78,Not Attempted,None,Not Attempted,None,5,5,5,5,5,0,"I love this robot, this robot is the goat, never challenge the bee, they will cook anyone in their way ",FALSE
49,Red,2,11318,1,,Hub,Score,None,10%,90%,112,12.44,100%,12.44,TRUE,Intake from Neutral Zone,None,10%,100%,64,6.40,0%,0.00,Intake from Neutral Zone,Idle,10%,50%,0,0.00,0%,0.00,Score,None,10%,100%,96,9.60,100%,9.60,Intake from Neutral Zone,None,0%,0%,0,0.00,0%,0.00,Score,None,10%,70%,80,11.43,100%,11.43,Pass,None,0%,140%,65,0.00,0%,0.00,33.47,39.87,Not Attempted,None,Not Attempted,None,3,2,3,3,0,0,Didn’t have to do much just got hard carried by Robot bees and Blair.,FALSE
49,Red,3,449,1,,Left Trench,Score,None,40%,90%,112,49.78,100%,49.78,TRUE,Score,None,40%,100%,64,25.60,100%,25.60,Score,None,40%,50%,0,0.00,100%,0.00,Score,None,40%,100%,96,38.40,100%,38.40,Score,None,0%,0%,0,0.00,100%,0.00,Idle,None,0%,70%,80,0.00,0%,0.00,Score,None,40%,140%,65,18.57,100%,18.57,132.35,132.35,Not Attempted,None,Not Attempted,None,5,0,5,5,0,0,Blair. Need i say more.,FALSE
50,Blue,1,422,1,,Left Trench,Intake from Neutral Zone,Score,50%,100%,28,14.00,33.3%,42.04,FALSE,Idle,None,0%,100%,1,0.00,0%,0.00,Defense,None,0%,100%,15,0.00,0%,0.00,Defense,None,0%,100%,0,0.00,0%,0.00,Pass,Defense,0%,100%,47,0.00,0%,0.00,Defense,None,0%,100%,0,0.00,0%,0.00,Pass,None,0%,100%,42,0.00,0%,0.00,42.04,14.00,Not Attempted,None,Not Attempted,None,3,3,0,4,0,5,Amazing defence. Intake broken. ,FALSE
50,Blue,2,5243,1,,Hub,Score,None,10%,100%,28,2.80,100%,2.80,FALSE,Pass,Pass,0%,100%,1,0.00,0%,0.00,Score,Intake from Neutral Zone,30%,100%,15,4.50,66.7%,6.75,Intake from Neutral Zone,Intake from Neutral Zone,0%,100%,0,0.00,0%,0.00,Score,Score,0%,100%,47,0.00,100%,0.00,Intake from Neutral Zone,Intake from Neutral Zone,0%,100%,0,0.00,0%,0.00,Score,Score,80%,100%,42,33.60,100%,33.60,43.15,40.90,L1 Attempted,None,Not Attempted,None,2,0,1,2,0,0,,FALSE
50,Blue,3,2068,0,,,,,0%,100%,28,0.00,0%,0.00,FALSE,,,0%,100%,1,0.00,0%,0.00,,,0%,100%,15,0.00,0%,0.00,,,0%,100%,0,0.00,0%,0.00,,,0%,100%,47,0.00,0%,0.00,,,0%,100%,0,0.00,0%,0.00,,,0%,100%,42,0.00,0%,0.00,0.00,0.00,,None,,None,,,,,,,,FALSE
50,Red,1,3258,1,,Hub,Idle,Idle,0%,90%,68,0.00,0%,0.00,TRUE,Intake from Neutral Zone,Intake from Neutral Zone,0%,90%,23,0.00,0%,0.00,Intake from Neutral Zone,Intake from Neutral Zone,0%,90%,0,0.00,0%,0.00,Idle,Idle,0%,70%,29,0.00,0%,0.00,Idle,Idle,0%,0%,0,0.00,0%,0.00,Idle,Idle,0%,100%,29,0.00,0%,0.00,Idle,Idle,0%,100%,22,0.00,0%,0.00,0.00,0.00,Not Attempted,None,Not Attempted,None,0,0,0,1,0,0,Stayed idle and doesn’t have auto,FALSE
50,Red,2,3136,1,,Right Trench,Intake from Neutral Zone,Score,40%,90%,68,30.22,33.3%,90.76,TRUE,Score,None,50%,90%,23,12.78,100%,12.78,Intake from Neutral Zone,None,50%,90%,0,0.00,0%,0.00,Score,None,40%,70%,29,16.57,100%,16.57,Intake from Neutral Zone,None,0%,0%,0,0.00,0%,0.00,Score,None,60%,100%,29,17.40,100%,17.40,Score,None,70%,100%,22,15.40,100%,15.40,152.91,92.37,Not Attempted,None,Not Attempted,None,3,0,3,3,1,0,It was kinda like our original robot but 0 defense avoidance and can be defended very easily.,TRUE
50,Red,3,401,1,,Left Bump,Score,None,50%,90%,68,37.78,100%,37.78,TRUE,Score,None,40%,90%,23,10.22,100%,10.22,Score,None,40%,90%,0,0.00,100%,0.00,Score,None,30%,70%,29,12.43,100%,12.43,Score,None,0%,0%,0,0.00,100%,0.00,Score,None,40%,100%,29,11.60,100%,11.60,Idle,None,30%,100%,22,6.60,0%,0.00,72.03,78.63,Not Attempted,None,Not Attempted,None,4,0,3,3,0,0,,FALSE
51,Blue,1,5587,1,,Hub,Score,None,40%,100%,25,10.00,100%,10.00,FALSE,Idle,None,0%,100%,17,0.00,0%,0.00,Score,Pass,40%,100%,62,24.80,66.7%,37.18,Defense,None,0%,100%,0,0.00,0%,0.00,Score,Defense,0%,100%,39,0.00,66.7%,0.00,Defense,Intake from Neutral Zone,0%,100%,0,0.00,0%,0.00,Score,None,40%,100%,43,17.20,100%,17.20,64.38,52.00,Not Attempted,None,Not Attempted,None,2,3,1,4,0,5,Put tiger bots on lockdown. Great defence. Great strategy.,FALSE
51,Blue,2,2377,1,,Left Trench,Pass,Score,20%,100%,25,5.00,33.3%,15.02,FALSE,Pass,Score,70%,100%,17,11.90,33.3%,35.74,Intake from Neutral Zone,Score,60%,100%,62,37.20,33.3%,111.71,Intake from Neutral Zone,Pass,0%,100%,0,0.00,0%,0.00,Score,Score,0%,100%,39,0.00,100%,0.00,Pass,Pass,0%,100%,0,0.00,0%,0.00,Score,Score,80%,100%,43,34.40,100%,34.40,196.86,88.50,Not Attempted,None,Not Attempted,None,2,4,3,3,0,0,slow jittery robot,FALSE
51,Blue,3,10004,0,,,,,0%,100%,25,0.00,0%,0.00,FALSE,,,0%,100%,17,0.00,0%,0.00,,,0%,100%,62,0.00,0%,0.00,,,0%,100%,0,0.00,0%,0.00,,,0%,100%,39,0.00,0%,0.00,,,0%,100%,0,0.00,0%,0.00,,,0%,100%,43,0.00,0%,0.00,0.00,0.00,,None,,None,,,,,,,,FALSE
51,Red,1,3361,1,,Hub,Idle,Idle,0%,90%,59,0.00,0%,0.00,TRUE,Score,Score,20%,110%,15,2.73,100%,2.73,Defense,Defense,0%,90%,0,0.00,0%,0.00,Defense,Defense,0%,90%,32,0.00,0%,0.00,Defense,Defense,0%,0%,0,0.00,0%,0.00,Intake from Neutral Zone,Intake from Neutral Zone,0%,80%,20,0.00,0%,0.00,Score,Score,10%,90%,19,2.11,100%,2.11,4.84,4.84,Not Attempted,None,Not Attempted,None,0,0,0,1,0,0,Can barely intake and shoot and so slow it looks like it has tank drive ,TRUE
51,Red,2,9072,1,,Right Trench,Intake from Neutral Zone,Score,90%,90%,59,59.00,33.3%,177.18,TRUE,Score,None,90%,110%,15,12.27,100%,12.27,Intake from Neutral Zone,None,90%,90%,0,0.00,0%,0.00,Score,None,90%,90%,32,32.00,100%,32.00,Pass,None,0%,0%,0,0.00,0%,0.00,Pass,None,80%,80%,20,20.00,0%,0.00,Idle,None,80%,90%,19,16.89,0%,0.00,221.45,140.16,Not Attempted,None,Not Attempted,None,5,0,3,5,1,0,Their intake broke when the got pushed into a wall while intake it was great until that happened.,FALSE
51,Red,3,2421,1,,Hub,Idle,None,0%,90%,59,0.00,0%,0.00,TRUE,Idle,None,0%,110%,15,0.00,0%,0.00,Idle,None,0%,90%,0,0.00,0%,0.00,Pass,None,0%,90%,32,0.00,0%,0.00,Defense,None,0%,0%,0,0.00,0%,0.00,Idle,None,0%,80%,20,0.00,0%,0.00,Idle,None,0%,90%,19,0.00,0%,0.00,0.00,0.00,Not Attempted,None,Not Attempted,None,0,0,0,2,0,2,Bad defense and didn't i take or shoot sucks.,FALSE
52,Blue,1,1727,1,,Hub,Score,Idle,50%,100%,72,36.00,66.7%,53.97,TRUE,Intake from Neutral Zone,None,0%,100%,70,0.00,0%,0.00,Intake from Neutral Zone,Pass,0%,100%,0,0.00,0%,0.00,Score,None,40%,100%,182,72.80,100%,72.80,Intake from Neutral Zone,None,0%,100%,0,0.00,0%,0.00,Score,None,50%,100%,161,80.50,100%,80.50,Intake from Neutral Zone,Score,40%,100%,109,43.60,33.3%,130.93,338.20,232.90,Not Attempted,None,Not Attempted,None,4,0,3,4,0,0,Good shooter and intake. Great strategy. ,FALSE
52,Blue,2,2106,1,,Left Trench,Intake from Neutral Zone,Score,70%,100%,72,50.40,33.3%,151.35,TRUE,Intake from Neutral Zone,Score,20%,100%,70,14.00,33.3%,42.04,Pass,Intake from Neutral Zone,0%,100%,0,0.00,0%,0.00,Score,Score,20%,100%,182,36.40,100%,36.40,Pass,Intake from Neutral Zone,0%,100%,0,0.00,0%,0.00,Score,Score,20%,100%,161,32.20,100%,32.20,Score,Score,30%,100%,109,32.70,100%,32.70,294.69,165.70,Not Attempted,None,Not Attempted,None,3,5,4,4,0,0,"Great team for cleaning up 
 the corners and scoring at the same time",FALSE
52,Blue,3,346,0,,,,,0%,100%,72,0.00,0%,0.00,TRUE,,,0%,100%,70,0.00,0%,0.00,,,0%,100%,0,0.00,0%,0.00,,,0%,100%,182,0.00,0%,0.00,,,0%,100%,0,0.00,0%,0.00,,,0%,100%,161,0.00,0%,0.00,,,0%,100%,109,0.00,0%,0.00,0.00,0.00,,None,,None,,,,,,,,FALSE
52,Red,1,614,1,,Left Bump,Intake from Neutral Zone,Score,80%,80%,42,42.00,33.3%,126.13,FALSE,Intake from Neutral Zone,Intake from Neutral Zone,0%,0%,0,0.00,0%,0.00,Score,Score,100%,100%,33,33.00,100%,33.00,Defense,Pass,0%,0%,0,0.00,0%,0.00,Score,Score,0%,0%,62,20.67,100%,20.67,Intake from Neutral Zone,Intake from Neutral Zone,0%,0%,0,0.00,0%,0.00,Score,Score,100%,100%,5,5.00,100%,5.00,184.79,100.67,Not Attempted,None,L1 Attempted,Level1,0,0,0,3,0,0,,FALSE
52,Red,2,5724,1,true,Hub,None,None,0%,80%,42,0.00,0%,0.00,FALSE,None,None,0%,0%,0,0.00,0%,0.00,None,None,0%,100%,33,0.00,0%,0.00,None,None,0%,0%,0,0.00,0%,0.00,None,None,0%,0%,62,20.67,0%,0.00,None,None,0%,0%,0,0.00,0%,0.00,None,None,0%,100%,5,0.00,0%,0.00,0.00,20.67,Not Attempted,None,Not Attempted,None,0,0,0,0,0,0,,FALSE
52,Red,3,1719,1,,Right Trench,Idle,None,0%,80%,42,0.00,0%,0.00,FALSE,Idle,None,0%,0%,0,0.00,0%,0.00,Idle,None,0%,100%,33,0.00,0%,0.00,Idle,None,0%,0%,0,0.00,0%,0.00,Defense,None,0%,0%,62,20.67,0%,0.00,Idle,None,0%,0%,0,0.00,0%,0.00,Idle,None,0%,100%,5,0.00,0%,0.00,0.00,20.67,Not Attempted,None,Not Attempted,None,0,0,0,1,0,1,God awful.,FALSE
53,Blue,1,5549,1,,Hub,Intake from Neutral Zone,Score,50%,100%,52,26.00,33.3%,78.08,FALSE,Intake from Neutral Zone,Score,80%,100%,23,18.40,33.3%,55.26,Intake from Neutral Zone,Score,40%,100%,50,20.00,33.3%,60.06,Intake from Neutral Zone,None,0%,100%,0,0.00,0%,0.00,Score,None,0%,100%,67,0.00,100%,0.00,Intake from Neutral Zone,None,0%,100%,0,0.00,0%,0.00,Score,None,40%,100%,144,57.60,100%,57.60,250.99,122.00,Not Attempted,None,Not Attempted,None,4,0,3,4,0,0,Good shooter and intake. Great strategy. ,FALSE
53,Blue,2,1908,1,,Hub,Score,Idle,30%,100%,52,15.60,66.7%,23.39,FALSE,Pass,Intake from Neutral Zone,0%,100%,23,0.00,0%,0.00,Intake from Neutral Zone,Pass,0%,100%,50,0.00,0%,0.00,Pass,Pass,0%,100%,0,0.00,0%,0.00,Pass,Pass,0%,100%,67,0.00,0%,0.00,Pass,Pass,0%,100%,0,0.00,0%,0.00,Score,Score,30%,100%,144,43.20,100%,43.20,66.59,58.80,Not Attempted,None,Not Attempted,None,3,4,4,4,0,0,,FALSE
53,Blue,3,339,0,,,,,0%,100%,52,0.00,0%,0.00,FALSE,,,0%,100%,23,0.00,0%,0.00,,,0%,100%,50,0.00,0%,0.00,,,0%,100%,0,0.00,0%,0.00,,,0%,100%,67,0.00,0%,0.00,,,0%,100%,0,0.00,0%,0.00,,,0%,100%,144,0.00,0%,0.00,0.00,0.00,,None,,None,,,,,,,,TRUE
53,Red,1,540,1,,Right Trench,Intake from Neutral Zone,Score,40%,130%,76,23.38,33.3%,70.22,TRUE,Intake from Neutral Zone,Score,50%,130%,15,5.77,33.3%,17.33,Intake from Neutral Zone,Score,50%,120%,0,0.00,33.3%,0.00,Intake from Neutral Zone,Pass,0%,70%,90,0.00,0%,0.00,Score,Score,0%,0%,0,0.00,100%,0.00,Intake from Neutral Zone,Intake from Neutral Zone,0%,80%,76,0.00,0%,0.00,Score,Score,30%,110%,108,29.45,100%,29.45,117.00,58.61,Not Attempted,None,Not Attempted,None,4,0,4,4,0,0,,FALSE
53,Red,2,5804,1,,Hub,Score,Idle,10%,130%,76,5.85,66.7%,8.76,TRUE,Defense,Pass,10%,130%,15,1.15,0%,0.00,Defense,Pass,0%,120%,0,0.00,0%,0.00,Defense,None,0%,70%,90,0.00,0%,0.00,Defense,None,0%,0%,0,0.00,0%,0.00,Defense,None,0%,80%,76,0.00,0%,0.00,Defense,None,0%,110%,108,0.00,0%,0.00,8.76,7.00,Not Attempted,None,Not Attempted,None,1,0,2,3,0,4,Good defense helped quite a bit preventing the other alliance scoring.,FALSE
53,Red,3,686,1,,Left Trench,Score,None,80%,130%,76,46.77,100%,46.77,TRUE,Score,None,70%,130%,15,8.08,100%,8.08,Intake from Neutral Zone,None,70%,120%,0,0.00,0%,0.00,Score,None,70%,70%,90,90.00,100%,90.00,Intake from Neutral Zone,None,0%,0%,0,0.00,0%,0.00,Score,None,80%,80%,76,76.00,100%,76.00,Score,None,80%,110%,108,78.55,100%,78.55,299.39,299.39,Not Attempted,None,Not Attempted,None,5,0,5,5,0,0,Great job Ben. That was tuff.,TRUE
54,Blue,1,3939,1,,Hub,Score,None,30%,100%,53,15.90,100%,15.90,TRUE,Pass,Intake from Neutral Zone,0%,100%,7,0.00,0%,0.00,Pass,None,0%,100%,0,0.00,0%,0.00,Score,None,20%,100%,55,11.00,100%,11.00,Intake from Neutral Zone,Pass,0%,100%,0,0.00,0%,0.00,Score,None,30%,100%,45,13.50,100%,13.50,Score,None,30%,100%,77,23.10,100%,23.10,63.50,63.50,Not Attempted,None,Not Attempted,None,3,4,2,3,0,0,Mid robot. Good shooter and great passing. ,FALSE
54,Blue,2,2199,1,,Right Trench,Intake from Neutral Zone,Score,60%,100%,53,31.80,33.3%,95.50,TRUE,Intake from Neutral Zone,Score,100%,100%,7,7.00,33.3%,21.02,Pass,Intake from Neutral Zone,0%,100%,0,0.00,0%,0.00,Score,Score,70%,100%,55,38.50,100%,38.50,Intake from Neutral Zone,Pass,0%,100%,0,0.00,0%,0.00,Score,Score,60%,100%,45,27.00,100%,27.00,Score,None,70%,100%,77,53.90,100%,53.90,235.92,158.20,Not Attempted,None,Not Attempted,None,4,4,4,5,0,0,,FALSE
54,Blue,3,1389,0,,,,,0%,100%,53,0.00,0%,0.00,TRUE,,,0%,100%,7,0.00,0%,0.00,,,0%,100%,0,0.00,0%,0.00,,,0%,100%,55,0.00,0%,0.00,,,0%,100%,0,0.00,0%,0.00,,,0%,100%,45,0.00,0%,0.00,,,0%,100%,77,0.00,0%,0.00,0.00,0.00,,None,,None,,,,,,,,TRUE
54,Red,1,1111,1,,Right Bump,Score,Score,0%,0%,15,5.00,100%,5.00,FALSE,Idle,Idle,0%,0%,3,1.00,0%,0.00,Idle,Idle,0%,10%,3,0.00,0%,0.00,Idle,Idle,0%,10%,0,0.00,0%,0.00,Idle,Idle,0%,0%,24,8.00,0%,0.00,Idle,Idle,0%,10%,0,0.00,0%,0.00,Idle,Idle,0%,10%,17,0.00,0%,0.00,5.00,14.00,Not Attempted,None,Not Attempted,None,0,0,0,1,0,0,Idle the entire match ,FALSE
54,Red,2,11425,1,,Hub,Idle,None,0%,0%,15,5.00,0%,0.00,FALSE,Pass,None,0%,0%,3,1.00,0%,0.00,Pass,None,0%,10%,3,0.00,0%,0.00,Pass,None,0%,10%,0,0.00,0%,0.00,Pass,None,0%,0%,24,8.00,0%,0.00,Pass,None,0%,10%,0,0.00,0%,0.00,Pass,None,0%,10%,17,0.00,0%,0.00,0.00,14.00,Not Attempted,None,Not Attempted,None,0,3,0,3,0,0,Just pushes balls into alliance zone very slowly.  ,FALSE
54,Red,3,8590,1,,Hub,Idle,None,0%,0%,15,5.00,0%,0.00,FALSE,Idle,None,0%,0%,3,1.00,0%,0.00,Score,None,10%,10%,3,3.00,100%,3.00,Score,None,10%,10%,0,0.00,100%,0.00,Score,None,0%,0%,24,8.00,100%,8.00,Score,None,10%,10%,0,0.00,100%,0.00,Score,None,10%,10%,17,17.00,100%,17.00,28.00,34.00,Not Attempted,None,Not Attempted,None,2,0,2,3,0,0,Pretty bad don't pick.,FALSE
55,Blue,1,1629,1,,Hub,Intake from Neutral Zone,Score,40%,50%,60,48.00,33.3%,144.14,FALSE,Intake from Neutral Zone,Score,30%,100%,13,3.90,33.3%,11.71,Score,None,30%,110%,127,34.64,100%,34.64,Intake from Neutral Zone,None,0%,0%,0,0.00,0%,0.00,Score,None,0%,0%,120,40.00,100%,40.00,Intake from Neutral Zone,None,40%,40%,0,0.00,0%,0.00,Score,None,40%,120%,63,21.00,100%,21.00,251.49,147.54,Not Attempted,None,Not Attempted,None,4,0,4,4,2,0,Good shooter. Good intake. Good strategy.,TRUE
55,Blue,2,449,1,,Right Trench,Intake from Neutral Zone,Idle,0%,50%,60,0.00,0%,0.00,FALSE,Pass,Score,60%,100%,13,7.80,33.3%,23.42,Intake from Neutral Zone,Score,60%,110%,127,69.27,33.3%,208.03,Intake from Neutral Zone,Pass,0%,0%,0,0.00,0%,0.00,Score,Intake from Neutral Zone,0%,0%,120,40.00,66.7%,59.97,Intake from Neutral Zone,Defense,0%,40%,0,0.00,0%,0.00,Score,Score,70%,120%,63,36.75,100%,36.75,328.17,153.82,Not Attempted,None,Not Attempted,None,5,5,5,4,2,1,"auto got stuck and driver crashed few times, toward end drivetrain became jittery probably wiring",FALSE
55,Blue,3,4541,1,,Hub,Score,None,10%,50%,60,12.00,100%,12.00,FALSE,Score,None,10%,100%,13,1.30,100%,1.30,Score,None,20%,110%,127,23.09,100%,23.09,Pass,None,0%,0%,0,0.00,0%,0.00,Score,None,0%,0%,120,40.00,100%,40.00,Score,None,0%,40%,0,0.00,100%,0.00,Score,None,10%,120%,63,5.25,100%,5.25,81.64,81.64,Not Attempted,None,Not Attempted,None,2,2,2,3,0,0,"slow shooting, bad accuracy, driver was a bit clueless ",TRUE
55,Red,1,3748,1,,Left Bump,Score,Score,30%,100%,98,29.40,100%,29.40,TRUE,Intake from Neutral Zone,Idle,0%,90%,16,0.00,0%,0.00,Pass,Defense,0%,30%,0,0.00,0%,0.00,Defense,Defense,0%,80%,99,0.00,0%,0.00,Defense,Defense,0%,0%,0,0.00,0%,0.00,Intake from Neutral Zone,Intake from Neutral Zone,0%,100%,76,0.00,0%,0.00,Score,Score,70%,160%,42,18.37,100%,18.37,47.78,47.78,Not Attempted,None,Not Attempted,None,3,2,0,3,0,0,,TRUE
55,Red,2,5338,1,,Right Trench,Intake from Neutral Zone,Score,40%,100%,98,39.20,33.3%,117.72,TRUE,Intake from Neutral Zone,Score,50%,90%,16,8.89,33.3%,26.69,Intake from Neutral Zone,Pass,0%,30%,0,0.00,0%,0.00,Score,None,50%,80%,99,61.87,100%,61.87,Intake from Neutral Zone,None,0%,0%,0,0.00,0%,0.00,Score,None,60%,100%,76,45.60,100%,45.60,Idle,None,60%,160%,42,15.75,0%,0.00,251.89,171.31,Not Attempted,None,Not Attempted,None,4,4,4,4,0,0,Ver good overall then at the end game it randomly stoped for some reason.,TRUE
55,Red,3,888,1,true,Left Trench,Score,None,30%,100%,98,29.40,100%,29.40,TRUE,Score,None,40%,90%,16,7.11,100%,7.11,Score,None,30%,30%,0,0.00,100%,0.00,Score,None,30%,80%,99,37.12,100%,37.12,Intake from Neutral Zone,None,0%,0%,0,0.00,0%,0.00,Score,None,40%,100%,76,30.40,100%,30.40,Score,None,30%,160%,42,7.88,100%,7.88,111.91,111.91,Not Attempted,None,Not Attempted,None,4,0,4,3,0,0,,TRUE
56,Blue,1,8592,1,,Hub,Idle,None,0%,100%,59,0.00,0%,0.00,TRUE,Score,None,70%,100%,54,37.80,100%,37.80,Pass,None,0%,100%,0,0.00,0%,0.00,Score,None,50%,100%,133,66.50,100%,66.50,Pass,None,0%,100%,0,0.00,0%,0.00,Score,None,50%,100%,105,52.50,100%,52.50,Intake from Neutral Zone,Score,50%,100%,63,31.50,33.3%,94.59,251.39,188.30,Not Attempted,None,Not Attempted,None,5,4,3,3,0,0,Great shooter and strategy. ,TRUE
