Timestamp,Team #?,Match #?,Starting location?,"AUTO scoring 
(uncheck all but final score before continuing) [Speaker score ✅]","AUTO scoring 
(uncheck all but final score before continuing) [Speaker miss ❌]","AUTO scoring 
(uncheck all but final score before continuing) [Amp score ✅]","AUTO scoring 
(uncheck all but final score before continuing) [Amp miss ❌]",# Fouls?,# Tech fouls?,"Tele-op scoring 
(uncheck all but final score before continuing) [Amp score ✅]","Tele-op scoring 
(uncheck all but final score before continuing) [Amp miss ❌]","Tele-op scoring 
(uncheck all but final score before continuing) [Speaker score ✅]","Tele-op scoring 
(uncheck all but final score before continuing) [Speaker miss ❌]",# Fouls?,# Tech fouls?,Climb?,Scored trap?,Harmony? (2 robots on the same chain),Driver performance?,How much defence was played ON this robot?,How effective the defense against this robot?,Did the robot break on the field?,Other notes?,Did this robot PLAY defence? If so how effectively?,Tele-op [Note passes],AUTO [Note passes],Tried center line pickup?,Successful pickup from center line?,Successful Exit STARTING ZONE
3/16/2024 18:23:36,1727,47,Amp,2,1,,,,,3,,6,2,,,No attempt,No attempt,No attempt,"5 - Fantastic, every move purposeful, wastes no time",None,N/A,No,,N/A,,,Yes,Yes,Yes
3/16/2024 18:23:59,9072,47,Center,1,1,,,,,,,"3, 4, 5, 6, 7, 8",,,,No attempt,No attempt,No attempt,"4 - Good, slight hesitation, but seemed purposeful",None,N/A,Yes,"Fast, stalled with 30 seconds left, came alive and parked",N/A,,,Yes,Yes,Yes
3/16/2024 21:48:36,2849,47,,,,,,0,0,,,,,1,0,No attempt,No attempt,No attempt,"1 - Completely lost, not contributing in any way",None,N/A,No,,N/A,,,No,No,No
3/16/2024 22:29:54,5243,47,,,,,,,,,,,,,,No attempt,No attempt,No attempt,"1 - Completely lost, not contributing in any way",None,N/A,No,,N/A,,,No,No,No
3/16/2024 18:30:42,6326,48,Amp,,,,,,,,,1,3,,,No attempt,No attempt,No attempt,"3 - Decent, they get around, could do better",None,N/A,No,,N/A,,,No,No,No
3/16/2024 18:31:12,1719,48,Center,1,,,,,,,,5,,,,Successful attempt,No attempt,No attempt,"5 - Fantastic, every move purposeful, wastes no time",None,N/A,No,,N/A,,,No,No,No
3/16/2024 18:31:13,8622,48,Amp,1,,,,,,,,,1,,,Successful attempt,No attempt,No attempt,"3 - Decent, they get around, could do better",Light,Somewhat effective,No,"Soft shooter, poor intake ",N/A,,,No,No,No
3/16/2024 18:31:14,2914,48,Source,,,,,None,None,,,,,None,None,Failed attempt,No attempt,No attempt,"2 - Mostly lost, but had some use",None,N/A,Yes,Shut down in the beginning and did nothing for auto but tried climbing at the end,Not effective,,,No,No,No
3/16/2024 18:31:28,4456,48,Center,4,,,,,,,,3,,,,Successful attempt,Failed attempt,No attempt,"4 - Good, slight hesitation, but seemed purposeful",Light,Not effective,No,Not super fast but consistent,N/A,,,No,No,Yes
3/16/2024 22:31:18,2199,48,,1,,,,,,1,,1,,,,No attempt,No attempt,No attempt,"2 - Mostly lost, but had some use",None,N/A,No,,N/A,,,No,No,Yes
3/16/2024 18:37:52,2900,49,Source,,1,,,,,,,,,,,No attempt,No attempt,No attempt,"1 - Completely lost, not contributing in any way",None,N/A,No,,Not effective,,,No,No,No
3/16/2024 18:37:59,1908,49,Source,,1,,,,,,,5,2,,,Successful attempt,No attempt,No attempt,"4 - Good, slight hesitation, but seemed purposeful",None,N/A,No,,N/A,,,No,No,No
3/16/2024 18:38:00,2537,49,Center,1,,,,,,,,,,,,Successful attempt,No attempt,Successful attempt,"1 - Completely lost, not contributing in any way",None,N/A,Yes,Robot broke ,N/A,,,No,No,No
3/16/2024 18:38:44,686,49,Amp,,,4,,None,None,2,,,,,,No attempt,No attempt,No attempt,"4 - Good, slight hesitation, but seemed purposeful",None,N/A,No,Good robot,Not effective,,,No,No,No
3/16/2024 18:38:55,1418,49,Amp,,1,,,,,1,,,2,,,Successful attempt,No attempt,Successful attempt,"3 - Decent, they get around, could do better",None,N/A,No,Shot over top of speaker,N/A,,,No,No,No
3/16/2024 21:50:20,7886,49,Source,,,,,,,,,,,,,No attempt,No attempt,No attempt,"1 - Completely lost, not contributing in any way",None,N/A,No,,N/A,,,No,No,No
3/16/2024 18:44:56,1389,50,Center,,2,,,,,1,,5,3,,,Failed attempt,No attempt,Failed attempt,"4 - Good, slight hesitation, but seemed purposeful",Light,Not effective,No,,N/A,,,No,No,No
3/16/2024 18:44:59,4464,50,Amp,,,,,,,,,,,,,No attempt,No attempt,No attempt,"1 - Completely lost, not contributing in any way",None,N/A,No,They inched their way to the stage and did nothing,N/A,,,No,No,No
3/16/2024 18:45:08,2377,50,Source,1,,,,,,1,,4,,,,No attempt,No attempt,No attempt,"3 - Decent, they get around, could do better",Light,Not effective,No,,N/A,,,No,,
3/16/2024 18:45:09,1446,50,Amp,,,,,,,,,,,,,No attempt,No attempt,No attempt,"1 - Completely lost, not contributing in any way",None,N/A,No,Robot is broken and ineffective. Continued running into the wall,Not effective,,,No,No,No
3/16/2024 18:45:12,116,50,Source,1,,,,,,,1,3,,,,Failed attempt,No attempt,No attempt,"4 - Good, slight hesitation, but seemed purposeful",Light,Not effective,No,Slow but steady ,N/A,,,No,No,No
3/16/2024 21:51:32,6213,50,Source,,,,,,,,,,,,,No attempt,No attempt,No attempt,"1 - Completely lost, not contributing in any way",None,N/A,Yes,,N/A,,,No,No,No
3/16/2024 18:52:35,9072,51,Center,1,,,,,,,,"1, 5",1,,,No attempt,No attempt,No attempt,"4 - Good, slight hesitation, but seemed purposeful",Heavy,Significantly effective,No,,N/A,,,Yes,No,No
3/16/2024 18:52:52,2849,51,Source,1,,,,,,,,,,,,No attempt,No attempt,No attempt,"4 - Good, slight hesitation, but seemed purposeful",None,N/A,No,Skirted the edge of a foul,Very effective,,,No,No,No
3/16/2024 18:53:18,1111,51,Amp,,,,,,,,,,,,,No attempt,No attempt,No attempt,"2 - Mostly lost, but had some use",None,N/A,Yes,It broke for a little bit and then played defense pretty well after it started working again ,Somewhat effective,,,No,No,No
3/16/2024 18:53:20,1727,51,Center,3,,,,,,3,,4,,,,No attempt,No attempt,No attempt,"5 - Fantastic, every move purposeful, wastes no time",Light,Significantly effective,No,Shoved around easily by 2849,N/A,,,No,No,No
3/16/2024 18:53:30,8726,51,Amp,1,,,,,,,,5,1,1,,No attempt,No attempt,No attempt,"4 - Good, slight hesitation, but seemed purposeful",None,N/A,No,"Shooter is fast but seemed to slow down every couple shots, intake is slow",N/A,1,,No,No,No
3/16/2024 21:52:42,5841,51,Source,1,,,,,,,,1,,,,No attempt,No attempt,No attempt,"2 - Mostly lost, but had some use",Light,Not effective,Yes,,,,,,,
3/16/2024 18:59:20,4541,52,Amp,1,,,,,,4,1,,,,,No attempt,No attempt,No attempt,"5 - Fantastic, every move purposeful, wastes no time",None,N/A,No,,N/A,,,No,No,No
3/16/2024 18:59:28,2199,52,Source,1,,,,,,3,1,3,2,,,No attempt,No attempt,No attempt,"4 - Good, slight hesitation, but seemed purposeful",Light,Not effective,No,Kinda slow but consistent ,N/A,,,No,No,No
3/16/2024 18:59:41,888,52,Center,3,,,,,,,,6,,,,No attempt,No attempt,No attempt,"5 - Fantastic, every move purposeful, wastes no time",None,N/A,No,Fantastic aim very quick. Very accurate with shooting. Shot the last shot with a few seconds on the clock ,N/A,,,Yes,Yes,Yes
3/16/2024 19:00:00,6326,52,Amp,1,,,,,,,,,2,,,No attempt,No attempt,No attempt,"5 - Fantastic, every move purposeful, wastes no time",Light,Somewhat effective,No,Robot was fast and went and grabbed rings to bring to teams area for the other team mate to score was fast ,N/A,,,No,No,No
3/16/2024 19:00:02,614,52,Center,2,,,,,,1,,5,,,,Successful attempt,No attempt,No attempt,"5 - Fantastic, every move purposeful, wastes no time",None,N/A,No,"Fast, fairly accurate, note bound up in intake a couple times, got stuck under bumper.",N/A,,,No,No,Yes
3/16/2024 21:55:37,7770,52,Source,,,,,,,,,,,,,No attempt,No attempt,No attempt,"1 - Completely lost, not contributing in any way",Light,Not effective,Yes,,Not effective,,,,,
3/17/2024 9:29:55,5243,53,Source,,,,,,,,,,,,,No attempt,No attempt,No attempt,"2 - Mostly lost, but had some use",None,Not effective,No,Tried to play defense ,Somewhat effective,,,No,No,No
3/17/2024 9:29:57,1629,53,Amp,1,1,,,,,,,8,3,,,No attempt,No attempt,No attempt,"5 - Fantastic, every move purposeful, wastes no time",Heavy,Somewhat effective,No,,N/A,1,,Yes,Yes,Yes
3/17/2024 9:29:59,4456,53,Center,3,,,,,,,,5,,,,Successful attempt,No attempt,No attempt,"4 - Good, slight hesitation, but seemed purposeful",Heavy,Not effective,No,,Somewhat effective,,,No,No,No
3/17/2024 9:30:13,8622,53,Center,,1,,,,,,,3,,,,No attempt,Failed attempt,No attempt,"3 - Decent, they get around, could do better",Light,Significantly effective,No,,N/A,,,No,No,No
3/17/2024 9:31:01,5115,53,Amp,,,,,,,"1, 2, 3, 4",1,"1, 2",,,,Successful attempt,No attempt,Successful attempt,"5 - Fantastic, every move purposeful, wastes no time",Heavy,Somewhat effective,No,,N/A,,,No,No,No
3/17/2024 9:32:21,8326,53,Source,,1,,,,,2,,2,,,,Successful attempt,No attempt,No attempt,"4 - Good, slight hesitation, but seemed purposeful",Light,Somewhat effective,No,"Climbed very well but 5115 (same alliance) knocked them down when attempting their own climb. Good Amp scorer, decent speaker scorer. Good driving, fairly quick, not too reckless",N/A,,,No,No,No
3/17/2024 9:36:50,3793,54,Amp,,,,,,,5,,,,,,No attempt,No attempt,No attempt,"3 - Decent, they get around, could do better",None,N/A,No,Looks and runs janky but scores a good amount on amp,N/A,,,No,No,Yes
3/17/2024 9:37:02,1719,54,Source,1,,,,,,,,6,,,,No attempt,No attempt,No attempt,"3 - Decent, they get around, could do better",None,N/A,No,"Very slow and methodical, had climber but didn’t attempt ",N/A,,,No,No,No
3/17/2024 9:37:07,3748,54,Center,3,,,,,,,,,,,,No attempt,Successful attempt,No attempt,,None,N/A,Yes,Issue with intake,N/A,,,Yes,No,Yes
3/17/2024 9:37:08,8514,54,Amp,,,,,,,1,,,,,,No attempt,No attempt,No attempt,"2 - Mostly lost, but had some use",None,N/A,Yes,Robot had trouble with Intake and spent too long trying to get a note. They played defense against someone that wasn’t working ,Not effective,,,No,No,No
3/17/2024 9:37:09,4638,54,Center,,1,,,,,,,,"1, 2",,,Failed attempt,No attempt,No attempt,"1 - Completely lost, not contributing in any way",None,N/A,No,Kept dropping notes and was hard to pick them up,N/A,,,No,No,No
3/17/2024 9:37:45,2914,54,Source,,,,,,,,,,,,,No attempt,No attempt,No attempt,"1 - Completely lost, not contributing in any way",Light,Not effective,No,"Can't intake from ground, electronics twitchy, note got stuck in robot for 30 seconds and they played defense against another bot also playing defense, didn't move during auto, parked at end game",Not effective,,,No,No,No
3/17/2024 9:43:25,2377,54,Source,1,,,,,,2,,3,1,,,Failed attempt,No attempt,No attempt,"5 - Fantastic, every move purposeful, wastes no time",Light,Not effective,No,,Somewhat effective,,,No,No,No
3/17/2024 9:43:33,2900,55,,,,,,,,,,,,,,Failed attempt,No attempt,No attempt,"1 - Completely lost, not contributing in any way",None,N/A,No,Useless,N/A,,,No,No,No
3/17/2024 9:43:44,1418,55,Center,,2,,,,,,,3,3,,,No attempt,No attempt,No attempt,"3 - Decent, they get around, could do better",None,N/A,No,,N/A,,,No,No,No
3/17/2024 9:44:07,686,55,Amp,3,1,,,,,,,5,2,,,No attempt,No attempt,No attempt,"5 - Fantastic, every move purposeful, wastes no time",Heavy,Not effective,No,,N/A,2,,No,No,No
3/17/2024 9:44:38,1727,55,Center,,"1, 2",,,,,"1, 2, 3, 4",,"1, 2, 3, 4, 5, 6",1,,,No attempt,No attempt,No attempt,"5 - Fantastic, every move purposeful, wastes no time",Heavy,Not effective,No,,N/A,,,Yes,Yes,Yes
3/17/2024 9:45:30,4464,55,Amp,,,,,,,,,,,"5 fouls, contact in the source",,No attempt,No attempt,No attempt,"1 - Completely lost, not contributing in any way",None,N/A,Yes,"Robot continuously hit opponent in their source after multiple flags, could not intake or shoot, died toward the end at center",Not effective,,,No,No,No
3/17/2024 9:59:48,888,55,Center,1,1,,,,,,,5,1,,,Failed attempt,No attempt,No attempt,"5 - Fantastic, every move purposeful, wastes no time",Light,Not effective,No,,N/A,,,Yes,No,Yes
3/17/2024 9:59:44,9072,56,Source,,1,,,,,,,"1, 2, 3, 4, 5, 6","1, 2",,,No attempt,No attempt,No attempt,"5 - Fantastic, every move purposeful, wastes no time",None,N/A,No,,N/A,,,Yes,Yes,Yes
3/17/2024 9:59:45,2199,56,Amp,1,,,,,,4,,1,,,,No attempt,No attempt,No attempt,"4 - Good, slight hesitation, but seemed purposeful",None,N/A,No,"Top heavy, a little slower but can score well ",N/A,,,No,No,No
3/17/2024 9:59:56,8726,56,Source,,,,,,,,,6,1,,,No attempt,Failed attempt,No attempt,"3 - Decent, they get around, could do better",None,N/A,No,,N/A,,,No,No,No
3/17/2024 10:01:07,1389,56,Amp,1,,,,,,"1, 2",,"1, 2, 3, 4, 5","1, 2",,,No attempt,No attempt,No attempt,"5 - Fantastic, every move purposeful, wastes no time",None,N/A,No,"Take a little bit to line up speaker, but good still",N/A,,,No,No,No
3/17/2024 10:01:35,614,56,Center,2,,,,,,2,,3,2,,,Successful attempt,No attempt,No attempt,"4 - Good, slight hesitation, but seemed purposeful",Light,Not effective,No,"Driving was a little wild, shot note out of field, missed one intake during auto, solid Amp shot, climbed but 9072 drove into them with 1 second to go and the climb didn't count",N/A,1,,No,No,Yes
3/17/2024 10:10:22,8622,57,Center,1,,,,,,,,,,,,No attempt,No attempt,No attempt,,None,N/A,Yes,"Lost comm, dead in water",N/A,,,No,No,No
3/17/2024 10:10:39,1908,57,Source,,1,,,,,,,3,5,,,Successful attempt,Failed attempt,No attempt,"3 - Decent, they get around, could do better",None,N/A,No,,N/A,,,No,No,No
3/17/2024 10:10:51,4541,57,Amp,,1,,,,,5,1,1,,,,No attempt,No attempt,No attempt,"4 - Good, slight hesitation, but seemed purposeful",None,N/A,No,Pretty good handling. Can score on speaker well but focuses on amp more ,N/A,,,No,No,No
3/17/2024 10:10:53,5841,57,Center,,1,,,,,,,,1,,,No attempt,No attempt,No attempt,"1 - Completely lost, not contributing in any way",None,N/A,No,Only picked up one note,N/A,,,No,No,No
3/17/2024 10:12:03,7886,57,Amp,,,,,,,,,,,,,No attempt,No attempt,No attempt,"1 - Completely lost, not contributing in any way",None,N/A,No,"Parked, and that's it",N/A,,,No,No,No
3/17/2024 10:12:37,1446,57,Source,,,,,,,,1,,,,,No attempt,No attempt,No attempt,"1 - Completely lost, not contributing in any way",None,N/A,No,Robot is not functional. Starts with a loaded note but failed to score in the Amp. Drive train isn't working properly. ,N/A,,,No,No,Yes
3/17/2024 10:18:10,6213,58,Source,,,,,,,,,,,,,No attempt,No attempt,No attempt,"1 - Completely lost, not contributing in any way",None,N/A,No,,Not effective,,,No,No,No
3/17/2024 10:18:15,3748,58,Center,2,,,,,,,,4,,,,Successful attempt,No attempt,No attempt,"3 - Decent, they get around, could do better",Heavy,Significantly effective,No,,N/A,,,No,No,No
3/17/2024 10:18:29,3793,58,Source,,,,,,,2,,,,,,No attempt,No attempt,No attempt,"3 - Decent, they get around, could do better",Light,Somewhat effective,Yes,The note intake was not very effective. It took too long to scoop up the note. Could not shoot for speakers ,N/A,,,No,No,Yes
3/17/2024 10:18:37,1111,58,Amp,,,,,,,,,,,,,No attempt,No attempt,No attempt,"2 - Mostly lost, but had some use",Heavy,N/A,No,,Not effective,,,No,No,No
3/17/2024 10:19:14,2537,58,Source,,1,,,,,1,,1,1,,,Failed attempt,No attempt,No attempt,"4 - Good, slight hesitation, but seemed purposeful",Heavy,Somewhat effective,No,Makes horrendous noise when shooting; deployed climber but didn’t engage it; shooter slow and semi-efficient ,N/A,,,No,No,No
3/17/2024 10:20:08,4456,58,Center,4,,,,,,,,4,,,,Successful attempt,Failed attempt,No attempt,"4 - Good, slight hesitation, but seemed purposeful",Light,Not effective,No,"Good robot, good driver, doesn't intake from ground outside of auto, slower but consistent, top heavy - tilted with a small hit. Climbed slowly and almost scored the trap",N/A,,,No,No,Yes
3/17/2024 10:25:42,1629,59,Center,4,,,,,,,,11,2,,,No attempt,No attempt,No attempt,"5 - Fantastic, every move purposeful, wastes no time",Heavy,Somewhat effective,No,Awesome score made sure to score towards the end of the game with second left,N/A,,,Yes,Yes,Yes
3/17/2024 10:26:04,4638,59,Source,,,,,,,,,,,,,Failed attempt,No attempt,No attempt,"2 - Mostly lost, but had some use",None,N/A,No,,Somewhat effective,1,,No,No,No
3/17/2024 10:26:06,8514,59,Amp,,,,,,,,,,,,,No attempt,No attempt,No attempt,"1 - Completely lost, not contributing in any way",Light,Shut them down,No,Never ever pick it,N/A,,,No,No,No
3/17/2024 10:26:06,7770,59,Source,,,,,,,,,,,,,Successful attempt,No attempt,No attempt,"4 - Good, slight hesitation, but seemed purposeful",Light,Not effective,No,Really good defense; got pretty high off floor in climb. ,Very effective,,,No,No,No
3/17/2024 10:26:27,8326,59,Center,1,"1, 2",,,,,"1, 2, 3, 4",,1,"1, 2",,,Successful attempt,No attempt,Successful attempt,"3 - Decent, they get around, could do better",None,Significantly effective,No,,N/A,,,No,No,No
3/17/2024 10:28:15,1719,59,Amp,,1,,,,,,,3,,,,Successful attempt,No attempt,No attempt,"3 - Decent, they get around, could do better",None,N/A,No,"Died for a few seconds, slower, cautious driver, climbed and in spotlight",N/A,,,No,No,Yes
3/17/2024 10:36:58,5243,60,Source,,,,,,,,,,,,,No attempt,No attempt,No attempt,"2 - Mostly lost, but had some use",None,N/A,Yes,Shut down towards the end,N/A,,,No,No,No
3/17/2024 10:37:05,6326,60,Center,,1,,,,,,,,,,,No attempt,No attempt,No attempt,"2 - Mostly lost, but had some use",None,N/A,Yes,Broke shooter and intake in auto,Somewhat effective,,,No,No,No
3/17/2024 10:37:23,2849,60,Center,,1,,,,,,,"1, 2",,,,No attempt,No attempt,No attempt,"1 - Completely lost, not contributing in any way",None,Somewhat effective,No,,N/A,,,,,No
3/17/2024 10:37:29,116,60,Amp,1,,,,,,,,5,2,,,No attempt,No attempt,No attempt,"4 - Good, slight hesitation, but seemed purposeful",None,N/A,No,Intske was slow but did ok ,N/A,,,No,No,No
3/17/2024 10:38:04,2914,60,Source,,,,,,,,,,1,,,No attempt,No attempt,No attempt,"2 - Mostly lost, but had some use",Light,Somewhat effective,No,"Very hesitant driver, seems new to swerve",N/A,,,No,No,No
3/17/2024 10:38:44,5115,60,Center,1,1,,,,,4,,2,1,"Maybe, contacting red under stage",,Failed attempt,No attempt,No attempt,"4 - Good, slight hesitation, but seemed purposeful",Heavy,Somewhat effective,Yes,"Climbing arm extended on impact and led strip fell off. Good Amp score, decent speaker score",N/A,,,No,No,Yes
3/17/2024 10:44:43,1727,61,Center,2,,,,,,7,,4,,,,No attempt,No attempt,No attempt,"4 - Good, slight hesitation, but seemed purposeful",Light,Not effective,No,,Somewhat effective,,,No,No,No
3/17/2024 10:44:59,1446,61,Source,,,,,,,,,,,,,No attempt,No attempt,No attempt,"1 - Completely lost, not contributing in any way",None,N/A,No,Lost comm for a bit.  ,Not effective,,,No,No,No
3/17/2024 10:45:08,9072,61,Center,3,,,,,,,,6,5,,,No attempt,No attempt,No attempt,"4 - Good, slight hesitation, but seemed purposeful",Light,Somewhat effective,No,686 got them razzled and they missed a lot of speakers ,N/A,,,Yes,Yes,Yes
3/17/2024 10:45:28,888,61,Source,1,,,,In red zone after auto,,,,6,3,,,No attempt,No attempt,No attempt,"4 - Good, slight hesitation, but seemed purposeful",None,N/A,No,"Missed more than usual, fast, a little wild",N/A,,,Yes,No,Yes
3/17/2024 10:45:44,2900,61,Amp,,,,,,,,,,,,,No attempt,No attempt,No attempt,"1 - Completely lost, not contributing in any way",None,N/A,No,"It did break in auto, and stopped moving in endgame, not middlegame",N/A,,,No,No,No
3/17/2024 10:47:02,686,61,Amp,"1, 2, 3",,,,,,,,"1, 2, 3, 4",1,,,No attempt,No attempt,No attempt,"5 - Fantastic, every move purposeful, wastes no time",Light,Not effective,No,,N/A,"1, 2, 3, 4",,Yes,Yes,Yes
3/17/2024 10:52:32,4464,62,Amp,,,,,,,,,,,,,No attempt,No attempt,No attempt,"1 - Completely lost, not contributing in any way",None,N/A,No,Went under stage and parked.  No help. ,N/A,,,No,No,No
3/17/2024 10:52:44,4541,62,Center,1,,,,,,1,,4,3,,,No attempt,Successful attempt,No attempt,"4 - Good, slight hesitation, but seemed purposeful",Light,Somewhat effective,No,,N/A,,,No,No,Yes
3/17/2024 10:52:46,5841,62,Source,,,,,,,,,3,1,,,No attempt,No attempt,No attempt,"3 - Decent, they get around, could do better",None,N/A,No,Slow intake ,Somewhat effective,,,No,No,No
3/17/2024 10:52:48,3748,62,Center,1,,,,,,,,"1, 2, 3, 4, 5, 6","1, 2",,,Successful attempt,No attempt,No attempt,"4 - Good, slight hesitation, but seemed purposeful",Light,Not effective,No,,N/A,,,No,No,Yes
3/17/2024 10:52:49,2377,62,Source,1,,,,,,3,,,,,,No attempt,No attempt,No attempt,"3 - Decent, they get around, could do better",None,N/A,Yes,Stopped towards the end,N/A,,,No,No,No
3/17/2024 10:54:39,2199,62,Amp,1,,,,,,,,3,1,,,Failed attempt,No attempt,No attempt,"3 - Decent, they get around, could do better",Light,Not effective,No,"Ground intake picked up notes and spit them out immediately, or dragged notes to speaker. Picked up two at once, not sure it was penalized. Seems driver can't see where notes are in the intake",N/A,1,,No,No,No
3/17/2024 10:58:47,8622,63,Center,1,,,,,,,,,,,,No attempt,No attempt,No attempt,"1 - Completely lost, not contributing in any way",None,N/A,Yes,,N/A,,,No,No,Yes
3/17/2024 10:59:12,7886,63,Amp,,,,,,,,,,1,,,No attempt,No attempt,No attempt,"1 - Completely lost, not contributing in any way",None,N/A,No,,N/A,,,No,No,No
3/17/2024 10:59:39,1389,63,Source,,,,,,,4,,2,,,,Failed attempt,No attempt,No attempt,"3 - Decent, they get around, could do better",None,N/A,No,,N/A,,,No,No,No
3/17/2024 10:59:44,3793,63,Source,,,,,,,3,1,,,,,No attempt,No attempt,No attempt,"3 - Decent, they get around, could do better",None,N/A,No,Slower robot with a slow intake ,N/A,,,No,No,Yes
3/17/2024 11:00:04,1629,63,Center,1,,,,,,,,9,,,,No attempt,No attempt,No attempt,"5 - Fantastic, every move purposeful, wastes no time",Light,N/A,No,,N/A,1,,No,No,No
3/17/2024 11:00:21,8726,63,Amp,1,1,,,,,,,4,4,,,No attempt,No attempt,No attempt,"5 - Fantastic, every move purposeful, wastes no time",Light,Not effective,No,Had to shoot from the center; intake not terribly efficient- had to run note up against wall to ensure pickup,N/A,,,No,No,No
3/17/2024 11:07:35,7770,64,Source,,,,,,,,,,,,,Failed attempt,No attempt,No attempt,"1 - Completely lost, not contributing in any way",None,N/A,No,,Not effective,,,No,No,No
3/17/2024 11:07:46,4456,64,Center,3,,,,,,,,3,,,,Successful attempt,No attempt,No attempt,"3 - Decent, they get around, could do better",None,N/A,No,,N/A,,,No,No,No
3/17/2024 11:07:57,2537,64,Source,,,,,,,,,2,2,,,Failed attempt,No attempt,Failed attempt,"3 - Decent, they get around, could do better",Light,Somewhat effective,No,"Intake is breaking, you could hear it from the field. Intake is very slow. ",N/A,,,No,No,No
3/17/2024 11:08:41,1719,64,Amp,1,,,,,,,,4,,,,Successful attempt,No attempt,Failed attempt,"3 - Decent, they get around, could do better",None,N/A,Yes,Failed harmony was not this robots fault it was 7770s failure ,Somewhat effective,,,No,No,Yes
3/17/2024 11:08:51,116,64,Source,1,,,,,,,,3,,Hit other alliance under stage,,Successful attempt,No attempt,No attempt,"2 - Mostly lost, but had some use",None,N/A,No,"Erratic driving, hard time intaking",N/A,,,No,No,Yes
3/17/2024 11:09:07,6326,64,Amp,,,,,,,1,,,,,,Successful attempt,No attempt,Failed attempt,"1 - Completely lost, not contributing in any way",None,N/A,No,Not sure if attempted harmonizer held it down on the floor or not.  Couldn’t see if all wheels were off the ground. ,N/A,,,No,No,No
3/17/2024 11:14:56,5115,65,Center,"1, 2",1,,,,,4,1,4,,,,Failed attempt,No attempt,No attempt,"5 - Fantastic, every move purposeful, wastes no time",None,N/A,No,,N/A,,,No,No,No
3/17/2024 11:15:00,2914,65,Source,,,,,,,,,,1,,,No attempt,No attempt,No attempt,"1 - Completely lost, not contributing in any way",Light,Somewhat effective,Yes,Not sure if this robot broke but it was meandering around the field not playing defense. ,Not effective,,,No,No,No
3/17/2024 11:15:22,8326,65,Center,2,,,,,,4,,1,1,,,Successful attempt,No attempt,No attempt,"5 - Fantastic, every move purposeful, wastes no time",Heavy,Somewhat effective,No,Likes to shoot from center.  Fast climber.  Good on amp,Somewhat effective,,,No,No,No
3/17/2024 11:15:26,4638,65,Source,,,,,,,,,,,,,No attempt,No attempt,No attempt,"3 - Decent, they get around, could do better",Light,Not effective,No,"No attempt to score or intake, defense only, did a good job on D",Very effective,,,No,No,Yes
3/17/2024 11:15:42,1908,65,Center,,1,,,,,,,2,4,,,Successful attempt,No attempt,No attempt,"3 - Decent, they get around, could do better",Heavy,Somewhat effective,No,Shooter not very powerful. Barely enough to get in the speaker. ,Somewhat effective,,,No,No,Yes
3/17/2024 11:16:39,1111,65,Amp,,,,,0,0,,,,,0,0,No attempt,No attempt,No attempt,"3 - Decent, they get around, could do better",None,N/A,No,"No scoring except a park, pretty much sat infront of the red speaker the whole game playing defense.  ",Somewhat effective,,,No,No,Yes
3/17/2024 11:22:14,5243,66,,,,,,,,,,2,2,,,No attempt,No attempt,No attempt,"3 - Decent, they get around, could do better",None,N/A,No,note intske is very slow and they’re not a fast robot,N/A,,,No,No,No
3/17/2024 11:22:16,8514,66,Amp,,,,,,,,,,,,,No attempt,No attempt,No attempt,"2 - Mostly lost, but had some use",None,N/A,Yes,Whole shooter was tilted and broken,Somewhat effective,,,No,No,No
3/17/2024 11:22:21,6213,66,Source,,,,,,,,,,,,,Failed attempt,No attempt,No attempt,"1 - Completely lost, not contributing in any way",Light,N/A,No,,Somewhat effective,,,No,No,No
3/17/2024 11:22:28,2849,66,Amp,,1,,,,,,,2,,,,No attempt,No attempt,No attempt,"3 - Decent, they get around, could do better",Heavy,Somewhat effective,No,Floppy intake; no ground pickup,Not effective,,,No,No,No
3/17/2024 11:22:59,614,66,Center,3,,,,,,,,1,,,,Failed attempt,No attempt,No attempt,"3 - Decent, they get around, could do better",None,N/A,Yes,"Unsure what happened after auto, could not intake, erratic driving, defense was okay",Somewhat effective,,,No,No,Yes
3/17/2024 11:24:12,1418,66,Center,1,,,,0,0,,,,,0,3,Successful attempt,No attempt,No attempt,"2 - Mostly lost, but had some use",None,N/A,No,"Got a note stuck in perimeter (something sticks out for it to get caught on, could be potential risk. Sorta played defense on midline the rest of the game.",Somewhat effective,,,No,No,Yes
3/17/2024 11:28:24,2900,67,Amp,,1,,,,,,,,,,,No attempt,No attempt,No attempt,"1 - Completely lost, not contributing in any way",None,N/A,Yes,,N/A,,,No,No,No
3/17/2024 11:28:53,1629,67,Source,2,1,,,,,,,8,3,,,No attempt,No attempt,No attempt,"5 - Fantastic, every move purposeful, wastes no time",Heavy,Not effective,No,Good at picking up mistakes and getting them second try,N/A,,,Yes,Yes,Yes
3/17/2024 11:28:54,8622,67,Center,1,,,,,,,,3,,,,No attempt,No attempt,No attempt,"2 - Mostly lost, but had some use",None,N/A,Yes,,N/A,,,No,No,No
3/17/2024 11:28:56,2199,67,Center,,"1, 2",,,0,0,1,,3,3,0,0,No attempt,No attempt,No attempt,"4 - Good, slight hesitation, but seemed purposeful",Light,Not effective,No,"Not great intake, shooter a bit inconsistent",N/A,,,No,No,Yes
