"Shifts Auto Primary Role","Shifts Auto Secondary Role","Shifts Auto Fuel Pct","Shifts Auto Starting Position","Shifts Auto Climb","Shifts Transition Primary Role","Shifts Transition Secondary Role","Shifts Transition Fuel Pct","Shifts Transition Defense On","Shifts Shift1 Primary Role","Shifts Shift1 Secondary Role","Shifts Shift1 Fuel Pct","Shifts Shift1 Defense On","Shifts Shift2 Primary Role","Shifts Shift2 Secondary Role","Shifts Shift2 Fuel Pct","Shifts Shift2 Defense On","Shifts Shift3 Primary Role","Shifts Shift3 Secondary Role","Shifts Shift3 Fuel Pct","Shifts Shift3 Defense On","Shifts Shift4 Primary Role","Shifts Shift4 Secondary Role","Shifts Shift4 Fuel Pct","Shifts Shift4 Defense On","Shifts Endgame Primary Role","Shifts Endgame Secondary Role","Shifts Endgame Fuel Pct","Shifts Endgame Defense On","Shifts Endgame Climb"," Id"," Hash","  V","Alliance","Createdat","Event Key","Match Key","Match Number","No Show","Overall Shooter","Overall Passer","Overall Intake","Overall Driver","Overall Defense Avoidance","Overall Defense","Overall Notes","Scouter","Team Number","Updatedat"
"Idle","None","","Hub","Not Attempted","Intake from Neutral Zone","None","10","Light","Idle","None","","None","Idle","None","","None","Score","None","10","Light","Idle","Score","","None","Score","None","","None","Not Attempted","69d96c28bf568fbb13dfc9a9","5899587119069d0929db1d0b23974dd59eb52ca0ccdd73e0d68675baca48ea7f","","red","2026-04-10T21:31:20.952Z","2026chcmp","2026chcmp_qm3","3","","1","","1","1","1","","Moving around trying to intake it was bad and when they tried to shoot their accuracy and the number of balls that went in in total seemed to be at most 10 they failed to avoid defense that wasn’t really defense.","Snithik","1111","2026-04-10T21:31:20.952Z"
"Idle","None","","Hub","Not Attempted","Defense","Pass","","None","Pass","None","","None","Defense","Pass","","None","Defense","None","","None","Defense","Idle","","None","Idle","Defense","","None","Not Attempted","69d96c28bf568fbb13dfc9a8","fcecb6f8c4ad827c91a6872b15f9c8afa27502f9056f820517335f885b084e19","","red","2026-04-10T21:31:20.952Z","2026chcmp","2026chcmp_qm2","2","","","","","1","","1","Idle most of the time and horrible defense it didn’t help at all it seemed to try pushing bots failed and got trapped between 2 bots and when it got out it was useless.","Snithik","8590","2026-04-10T21:31:20.952Z"
"Intake from Neutral Zone","Score","70","Left Trench","Not Attempted","Score","Idle","70","None","Intake from Neutral Zone","None","70","None","Score","None","70","None","Intake from Neutral Zone","None","70","None","Score","None","60","None","Score","Intake from Neutral Zone","60","None","Not Attempted","69d96c28bf568fbb13dfc9aa","40edb7dfae5e89a2baef9a905827b47f0e35c84b5fd6448c7b3fac5c28747793","","red","2026-04-10T21:31:20.952Z","2026chcmp","2026chcmp_qm4","4","","4","","3","4","","","Decent in taking good shooter accurate high unload speed and can store a lot of balls in their hopper their team was ok and helped them get quite a bit of points.","Snithik","4099","2026-04-10T21:31:20.952Z"
"Score","Intake from Neutral Zone","60","Right Trench","Not Attempted","Intake from Neutral Zone","None","","None","Score","Intake from Neutral Zone","60","None","Intake from Neutral Zone","Pass","60","None","Score","None","60","None","Intake from Neutral Zone","Score","60","None","Score","None","60","None","Not Attempted","69d96c28bf568fbb13dfc9ac","1b484d01af4050fb3555be556a49f47030c4b514a828fbe9afd6adc9d37cd72f","","red","2026-04-10T21:31:20.952Z","2026chcmp","2026chcmp_qm6","6","","4","2","4","4","","","Their battery was probably almost dead because at the end their robot moved extremely slowly and stoped shooting fast can intake and shoot well pretty good robot overall.","Snithik","619","2026-04-10T21:31:20.952Z"
"Score","Idle","20","Right Bump","Not Attempted","Score","None","30","None","Intake from Neutral Zone","None","30","None","Score","None","40","None","Intake from Neutral Zone","None","40","None","Score","None","40","None","Score","None","40","None","Not Attempted","69d96c28bf568fbb13dfc9ab","cc313f1f0212e1063733f1d6bb4b9319c29cfbc812a1842a21c85b7570a695e8","","red","2026-04-10T21:31:20.952Z","2026chcmp","2026chcmp_qm5","5","","3","","3","3","","","Couldn’t get accurate shoots but had about 40% most of the end game for their teams balls in the hub.","Snithik","11318","2026-04-10T21:31:20.952Z"
"Score","Intake from Neutral Zone","50","Right Trench","Not Attempted","Score","Intake from Neutral Zone","60","None","Intake from Neutral Zone","None","60","None","Score","None","80","None","Intake from Neutral Zone","Pass","70","None","Score","None","70","None","Score","None","80","None","Not Attempted","69d96c28bf568fbb13dfc9a7","78969cb82ef789d23b6b745c83ea49efc009bad94f21abf8356fb03b70914342","","red","2026-04-10T21:31:20.945Z","2026chcmp","2026chcmp_qm1","1","","5","5","3","4","","","","Snithik","2106","2026-04-10T21:31:20.945Z"
"Score","None","20","Hub","Not Attempted","Score","None","30","None","Score","None","20","None","Score","None","30","None","Score","None","20","None","Defense","None","20","None","Score","None","30","None","Not Attempted","69d96b3f6596dd6511f96689","40df09dbee80ef2c6fcd7e326c7e3436ee52a567873bdad05dc309d73dc0f4b1","","red","2026-04-10T21:27:27.340Z","2026chcmp","2026chcmp_qm33","33","","3","","3","3","","4","","Arihan","9033","2026-04-10T21:27:27.340Z"
"Intake from Neutral Zone","Score","50","Left Bump","Not Attempted","Intake from Neutral Zone","Intake from Neutral Zone","","None","Intake from Neutral Zone","Pass","","None","Score","Score","60","None","Intake from Neutral Zone","Pass","","None","Score","Score","40","None","Score","Score","60","None","Not Attempted","69d96ae36596dd6511f96682","7ff92f61a64ca98876ed368b8268fcb9ee980a8dd7ff1820397c5ff7852389d9","","blue","2026-04-10T21:25:55.794Z","2026chcmp","2026chcmp_qm33","33","","5","","4","5","","","Pretty good","Sai","346","2026-04-10T21:25:55.794Z"
"Intake from Neutral Zone","Score","20","Right Trench","Not Attempted","Intake from Neutral Zone","Score","20","None","Score","Pass","","None","Score","Intake from Neutral Zone","30","Moderate","Intake from Neutral Zone","Pass","","None","Score","Score","10","Light","Intake from Neutral Zone","Score","20","Moderate","Not Attempted","69d96add6596dd6511f96680","8781d19c5af2e6161ce3a867f4f4f3cb732a37ec06ab4a3c4f7412ceec641735","","blue","2026-04-10T21:25:49.271Z","2026chcmp","2026chcmp_qm33","33","","1","2","4","3","1","","","Falco Carey","11415","2026-04-10T21:25:49.814Z"
"Intake from Neutral Zone","Score","40","Left Trench","Not Attempted","Intake from Neutral Zone","Score","60","None","Score","Intake from Neutral Zone","70","None","Idle","None","","None","Idle","None","","None","Idle","None","","None","Idle","None","","None","Not Attempted","69d96ad56596dd6511f9667f","964ef84f5b82c5ae657e3961a6a35ceecdb81c7a6b985f49462b0a356da2fea6","","red","2026-04-10T21:25:41.351Z","2026chcmp","2026chcmp_qm33","33","","5","","4","4","","","Idle for almost whole match. But really good robot.","Nidhish","9072","2026-04-10T21:25:41.351Z"
"Intake from Neutral Zone","Score","10","Left Trench","Not Attempted","Score","None","80","None","Score","None","40","None","Intake from Neutral Zone","Pass","","None","Score","None","80","None","Intake from Neutral Zone","Pass","","None","Score","None","70","None","Not Attempted","69d969056596dd6511f96602","d2389788ac51d3901775e18fdfd55c832fc9ab8fe0cc1b031c21a54dd77fbdc1","","red","2026-04-10T21:17:57.290Z","2026chcmp","2026chcmp_qm32","32","","3","3","3","4","","","Good shooter, ok intake, good strategy.","Nidhish","4472","2026-04-10T21:17:57.290Z"
"Score","None","20","Right Bump","Not Attempted","Score","None","20","None","Score","None","20","None","Score","None","20","None","Score","None","20","None","Score","None","20","None","Score","None","20","None","Not Attempted","69d968ec6596dd6511f965ff","393262cdbefd8cdc9bd688a1b45d2f6f72f44c99cb8142eac19b8f3002dc50f2","","red","2026-04-10T21:17:32.819Z","2026chcmp","2026chcmp_qm32","32","","2","","2","3","","","Mid. Don't pick.","Arihan","5804","2026-04-10T21:17:32.991Z"
"Intake from Neutral Zone","Score","50","Hub","Not Attempted","Score","Score","50","None","Pass","Intake from Neutral Zone","","None","Score","Score","30","None","Pass","Intake from Neutral Zone","","None","Score","Score","40","None","Score","Intake from Neutral Zone","40","None","Not Attempted","69d968e86596dd6511f965fe","6cb673569fe2c3f59cb9b344a143454d0797ffa93798ad78c7f828e73f85e12e","","blue","2026-04-10T21:17:28.328Z","2026chcmp","2026chcmp_qm32","32","","2","4","4","4","1","","","Falco Carey","1262","2026-04-10T21:17:28.328Z"
"Score","Score","20","Left Bump","Not Attempted","Intake from Neutral Zone","Intake from Neutral Zone","","None","Pass","Intake from Neutral Zone","","None","Score","Score","30","None","Intake from Neutral Zone","Intake from Neutral Zone","","None","Score","Score","30","None","Score","Score","30","None","Not Attempted","69d968e86596dd6511f965fd","978dd185da53ca749579667d84bd8edf08b97fa980be5c69de065fbfe2f3a008","","blue","2026-04-10T21:17:28.141Z","2026chcmp","2026chcmp_qm32","32","","3","","4","3","","","","Sai","2377","2026-04-10T21:17:28.141Z"
"Idle","None","","Hub","Not Attempted","Idle","None","","None","Intake from Neutral Zone","Score","40","None","Intake from Neutral Zone","None","","None","Intake from Neutral Zone","None","40","None","Idle","None","","None","Defense","None","","None","Not Attempted","69d9674b6596dd6511f965b5","acfa059bb5bb90784c84d0029e5388f48b1e4dc2ff5f5f105963c4938ebb8f29","","red","2026-04-10T21:10:35.543Z","2026chcmp","2026chcmp_qm31","31","","3","","2","3","","4","Good defence. Ok shoter. Bad intake.","Nidhish","619","2026-04-10T21:10:35.543Z"
"Intake from Neutral Zone","Score","70","Left Trench","Not Attempted","Score","Intake from Neutral Zone","60","None","Score","Intake from Neutral Zone","60","None","Intake from Neutral Zone","Intake from Neutral Zone","","None","Score","Score","80","None","Intake from Neutral Zone","Intake from Neutral Zone","","None","Score","Score","50","None","Not Attempted","69d967326596dd6511f965a6","29e5180c5aa1df34451726fcd2b695b6d28b78fec664517a92a2f78b8b4428a5","","blue","2026-04-10T21:10:10.163Z","2026chcmp","2026chcmp_qm31","31","","4","","5","4","","","","Sai","5338","2026-04-10T21:10:10.163Z"
"Score","None","20","Right Trench","Not Attempted","Score","None","30","None","Pass","None","","None","Score","None","40","None","Pass","None","50","None","Pass","None","40","None","Score","None","50","None","Not Attempted","69d967226596dd6511f965a1","6c6ee71b6e6893c3dad29c239f427997e077e8892410893c45b507be80513d73","","red","2026-04-10T21:09:54.499Z","2026chcmp","2026chcmp_qm31","31","","4","3","4","4","","","","Arihan","836","2026-04-10T21:09:54.499Z"
"Score","Score","10","Hub","Not Attempted","Pass","Pass","","None","Pass","Pass","","None","Pass","Pass","","None","Pass","Pass","","None","Pass","Pass","","None","Pass","Pass","","None","Not Attempted","69d966f16596dd6511f96597","1cf88ad7360c768993bcc829d8cff4d41b3d66cc02125aed8e081157ef113a8e","","blue","2026-04-10T21:09:05.772Z","2026chcmp","2026chcmp_qm31","31","","1","2","","3","","","","Falco Carey","1719","2026-04-10T21:09:05.772Z"
"Score","None","50","Hub","Not Attempted","Score","None","60","None","Pass","None","","None","Score","None","60","None","Pass","None","","None","Score","None","70","None","Score","None","70","None","Not Attempted","69d9656f6596dd6511f9654b","2a7b18d8c85e154252f33271161216ad9361c6b4bc58b8ca7cef2836641657af","","red","2026-04-10T21:02:39.948Z","2026chcmp","2026chcmp_qm30","30","","5","4","5","4","","","Holy crap that was amazing. They scored like 300 points by themselves.","Arihan","449","2026-04-10T21:02:39.948Z"
"Intake from Neutral Zone","Score","30","Right Trench","Not Attempted","Intake from Neutral Zone","None","","None","Intake from Neutral Zone","Pass","","None","Score","None","50","Light","Intake from Neutral Zone","None","","None","Score","None","50","None","Score","Intake from Neutral Zone","50","None","Not Attempted","69d964f76596dd6511f9652f","31e6202f741edeb5ffc964179fb094853beec3ba0f037dc8eca266e834349d79","","red","2026-04-10T21:00:39.780Z","2026chcmp","2026chcmp_qm30","30","","4","2","3","4","","","Great shooter. Good intake. Auto messed up. ","Nidhish","3136","2026-04-10T21:00:39.780Z"
"Idle","Idle","","Hub","Not Attempted","Score","Score","70","None","Score","Score","80","Heavy","Intake from Neutral Zone","Intake from Neutral Zone","","None","Score","Score","90","Moderate","Intake from Neutral Zone","Pass","","None","Score","Score","100","None","Not Attempted","69d964c36596dd6511f9652b","34fee662787a31331d92e8cf0d0d1936aeb427ccd439d5df46da69ead0f939c5","","blue","2026-04-10T20:59:47.265Z","2026chcmp","2026chcmp_qm30","30","","4","5","4","4","1","","","Falco Carey","1727","2026-04-10T20:59:47.265Z"
"Idle","Idle","","Left Trench","Not Attempted","Idle","Idle","","None","Score","Score","","None","Defense","Defense","","None","Defense","Score","10","None","Defense","Defense","","None","Score","Score","10","None","Not Attempted","69d964b76596dd6511f96529","6891fcdd8a7c476a395569d0fe0ef99ebacea18053b8a3dd7cc0858459e3ed74","","blue","2026-04-10T20:59:35.360Z","2026chcmp","2026chcmp_qm30","30","","1","","1","2","","","Awful","Sai","1111","2026-04-10T20:59:35.360Z"
"Intake from Neutral Zone","Score","40","Left Trench","Not Attempted","Score","Score","70","None","Intake from Neutral Zone","Pass","","None","Score","Score","40","None","Intake from Neutral Zone","Intake from Neutral Zone","","None","Score","Score","50","None","Score","Score","50","None","Not Attempted","69d9633e6596dd6511f964dd","ae93b2dab8c1a04a4c72a688182f5408e653539af5bb5001f0f319ded67b3792","","blue","2026-04-10T20:53:18.917Z","2026chcmp","2026chcmp_qm29","29","","4","","4","4","","","Pretty good ","Sai","10004","2026-04-10T20:53:18.917Z"
"Score","None","20","Hub","Not Attempted","Intake from Neutral Zone","None","","None","Pass","Score","30","None","Intake from Neutral Zone","Pass","","Light","Score","None","40","None","Idle","None","","None","Pass","None","","None","Not Attempted","69d9632a6596dd6511f964da","851755b0cc6e5d582b2b4ac281ae37482424b5b8878fa680f067ebb3d5015d2b","","red","2026-04-10T20:52:58.974Z","2026chcmp","2026chcmp_qm29","29","","3","2","1","3","","","Ok shooter. Bad intake. Great strategy. ","Nidhish","11318","2026-04-10T20:52:58.974Z"
"Intake from Neutral Zone","Score","50","Right Bump","Not Attempted","Intake from Neutral Zone","Score","90","None","Intake from Neutral Zone","Score","","None","Score","Score","90","None","Intake from Neutral Zone","Intake from Neutral Zone","","None","Score","Score","80","None","Score","Score","70","None","Not Attempted","69d963286596dd6511f964d9","997834cb622e4bf0ccd41b0aa2b94486ce7f54431ed5b65af05ed7bc5798bcf7","","blue","2026-04-10T20:52:56.066Z","2026chcmp","2026chcmp_qm29","29","","5","","4","4","2","","intake broke kinda but still worked a bit ","Falco Carey","614","2026-04-10T20:52:56.066Z"
"Score","None","20","Hub","Not Attempted","Score","None","30","None","Score","None","30","None","Score","None","30","None","Score","None","30","None","Score","None","30","None","Score","None","30","None","Not Attempted","69d9630d6596dd6511f964d5","f9fe0ef30eb874fb3414a35e6aa261c7a3e735bfc6438bd72dd9d844f3819f98","","red","2026-04-10T20:52:29.118Z","2026chcmp","2026chcmp_qm29","29","","3","","3","3","","","","Arihan","3748","2026-04-10T20:52:29.118Z"
"Score","None","20","Right Bump","L1 Attempted","Idle","None","","None","Intake from Neutral Zone","None","","None","Score","None","20","None","Intake from Neutral Zone","None","","None","Score","None","20","None","Intake from Neutral Zone","Score","10","None","Not Attempted","69d9614f6596dd6511f96476","6ca4edbcc467596e8b96e210fd14d1565b63c3be0de4f10eadfe8f058f819caa","","red","2026-04-10T20:45:03.391Z","2026chcmp","2026chcmp_qm28","28","","2","1","1","2","","","Horrible intake. Slow shooter. No stategy.","Nidhish","5243","2026-04-10T20:45:03.391Z"
"Intake from Neutral Zone","Score","60","Right Trench","Not Attempted","Intake from Neutral Zone","Intake from Neutral Zone","","None","Score","Score","60","None","Intake from Neutral Zone","Intake from Neutral Zone","","None","Score","Score","30","None","Intake from Neutral Zone","Pass","","None","Score","Score","30","None","Not Attempted","69d961366596dd6511f96474","8ae4ab49d317441de43c274333b05a92cca6047b875a8d795c179b793ab8c9f0","","blue","2026-04-10T20:44:38.599Z","2026chcmp","2026chcmp_qm28","28","","4","3","3","4","","","","Sai","5549","2026-04-10T20:44:38.599Z"
"Score","Score","20","Hub","Not Attempted","Intake from Neutral Zone","Idle","","None","Pass","Idle","","None","Defense","Pass","","None","Defense","Pass","","None","Pass","Pass","","None","Pass","Pass","","None","Not Attempted","69d961266596dd6511f96471","9eb3b1acfa3c0fe7ae2678ec86d45fd6d762aad62b69ff31b8f7ffa685fb1a39","","blue","2026-04-10T20:44:22.979Z","2026chcmp","2026chcmp_qm28","28","","","2","","2","1","1","chud","Falco Carey","2421","2026-04-10T20:44:22.979Z"
"Idle","None","","Hub","Not Attempted","Idle","None","","None","Idle","None","","None","Idle","None","","None","Idle","None","","None","Idle","None","","None","Idle","None","","None","Not Attempted","69d95fa56596dd6511f9640e","27b5d5bdc4fd421f3afefc5b6690e52a2f960e817a6ba0d11ab36bd7b5642b90","","red","2026-04-10T20:37:57.366Z","2026chcmp","2026chcmp_qm28","28","true","","","","2","","","Hit random things.","Arihan","3361","2026-04-10T20:44:43.707Z"
"Idle","None","","Hub","Not Attempted","Score","None","20","None","Score","None","20","None","Score","None","20","None","Pass","None","","None","Score","None","30","None","Score","None","30","None","Not Attempted","69d95fa46596dd6511f9640d","dd6c5ba0bb9d2866f51c061833b4c82ccea77399813193f4c92257d263fff899","","red","2026-04-10T20:37:56.862Z","2026chcmp","2026chcmp_qm27","27","","3","","2","3","","","Not as good as I thought they were. Did good at Pasadena bad here.","Arihan","2537","2026-04-10T20:37:56.862Z"
"Intake from Neutral Zone","Score","40","Right Trench","Not Attempted","Score","None","100","None","Intake from Neutral Zone","Pass","","None","Score","None","70","Light","Intake from Neutral Zone","None","","Moderate","Score","None","80","Moderate","Score","Intake from Neutral Zone","70","None","Not Attempted","69d95f826596dd6511f96403","234f3fcbdc370b5b5a3ab650afd91e3ea36ea907ae105c638c6b860a944aa52e","","red","2026-04-10T20:37:22.097Z","2026chcmp","2026chcmp_qm27","27","","5","3","4","4","3","","Great shooter and Intake. Alr passing.","Nidhish","1908","2026-04-10T20:37:22.137Z"
"Idle","Idle","","Hub","Not Attempted","Intake from Neutral Zone","Intake from Neutral Zone","","None","Score","Score","30","None","Intake from Neutral Zone","Defense","","None","Score","Score","50","None","Defense","Intake from Neutral Zone","","None","Score","Score","40","None","Not Attempted","69d95f616596dd6511f963fa","8fe6ff34dd4413b3090d9a5361098fb2500f21a353eea5f0e19788241a7b3e38","","blue","2026-04-10T20:36:49.028Z","2026chcmp","2026chcmp_qm27","27","","3","3","4","3","","","","Sai","620","2026-04-10T20:36:49.028Z"
"Score","Intake from Neutral Zone","90","Right Trench","Not Attempted","Score","Score","90","None","Score","Score","50","None","Pass","Intake from Neutral Zone","","None","Score","Score","40","None","Pass","Intake from Neutral Zone","","None","Score","Score","10","None","Not Attempted","69d95f4d6596dd6511f963f6","1633cf3a10a7e17ac8b5a4831897b1e47f04444c5a7ea28683ed1c18ade8c25f","","blue","2026-04-10T20:36:29.246Z","2026chcmp","2026chcmp_qm27","27","","3","4","4","4","","","shorted put towards end","Falco Carey","401","2026-04-10T20:36:29.246Z"
"Score","None","20","Hub","Not Attempted","Intake from Neutral Zone","None","","None","Score","Intake from Neutral Zone","50","None","Intake from Neutral Zone","None","","None","Score","None","30","None","Intake from Neutral Zone","None","","None","Score","None","30","None","Not Attempted","69d95dc96596dd6511f963ad","43f065ca8ff80158d3490bc6b5fe5bea92c6e1fa5d380fa2052f4b2782291983","","red","2026-04-10T20:30:01.452Z","2026chcmp","2026chcmp_qm26","26","","3","","2","3","","","Alright shooter. Big hopper. Bad intake. Good strategy.","Nidhish","10224","2026-04-10T20:30:01.452Z"
"Intake from Neutral Zone","Score","80","Right Trench","Not Attempted","Intake from Neutral Zone","Intake from Neutral Zone","","None","Pass","Pass","","None","Score","Score","60","None","Pass","Intake from Neutral Zone","","None","Score","Score","50","None","Score","Defense","30","None","Not Attempted","69d95dbe6596dd6511f963ac","e735fbb0237debfc1c0f233c8d38f46696dec1c5c1eec064bada65725cd06cf6","","blue","2026-04-10T20:29:50.721Z","2026chcmp","2026chcmp_qm26","26","","5","4","3","4","","","Intake broke ","Sai","1629","2026-04-10T20:29:50.721Z"
"Score","Score","30","Right Trench","Not Attempted","Score","None","40","None","Score","None","30","None","Idle","None","","None","Score","None","30","None","Idle","None","","None","Score","None","30","None","Not Attempted","69d95dbc6596dd6511f963ab","8c8eed1b6576ccac17da51cc2a3ad1c2af6891ea4e9c1e34f2419605eb85feab","","red","2026-04-10T20:29:48.857Z","2026chcmp","2026chcmp_qm26","26","","4","","3","4","","","","Arihan","4472","2026-04-10T20:29:49.166Z"
"Score","Score","10","Hub","Not Attempted","Pass","Defense","","None","Defense","Defense","","None","Defense","Idle","","None","Defense","Defense","","None","Defense","Defense","","None","Pass","Pass","","None","Not Attempted","69d95da06596dd6511f963a9","24a0818f6ef6bce4764d53640db7922ca12b4df3b6623c6361bad21792688de0","","blue","2026-04-10T20:29:20.767Z","2026chcmp","2026chcmp_qm26","26","","1","","1","2","1","1","tank drive","Falco Carey","11425","2026-04-10T20:29:20.767Z"
"Score","Intake from Neutral Zone","40","Right Trench","Not Attempted","Intake from Neutral Zone","Score","60","None","Pass","Intake from Neutral Zone","","None","Score","None","80","None","Intake from Neutral Zone","Pass","","None","Score","None","80","None","Score","None","80","None","Not Attempted","69d95c646596dd6511f96367","d4145b995ac81d780a5ae61db6dadf312f977b95d1636a07c113f7d6cb19b1a7","","red","2026-04-10T20:24:04.043Z","2026chcmp","2026chcmp_qm25","25","","5","4","3","5","","","Great shooter. Very nice passing. Good intake.","Nidhish","836","2026-04-10T20:24:04.043Z"
"Score","None","10","Hub","Not Attempted","Score","None","20","None","Score","None","20","None","Score","None","20","None","Score","None","20","None","Score","None","20","None","Score","None","20","None","Not Attempted","69d95c1e6596dd6511f962cc","f7b91a91b13d8ae9a9e9af96b67a2f9f1bc71ed8f476f100743af243dc27feb4","","red","2026-04-10T20:22:54.392Z","2026chcmp","2026chcmp_qm25","25","","2","","3","3","","","","Arihan","1262","2026-04-10T20:22:54.392Z"
"Score","Score","20","Hub","Not Attempted","Intake from Neutral Zone","Intake from Neutral Zone","","None","Score","Score","40","None","Pass","Pass","","None","Defense","Defense","","None","Intake from Neutral Zone","Intake from Neutral Zone","","None","Score","Score","90","None","Not Attempted","69d95be16596dd6511f962be","ee2d58d7de4518d27a47514bcedda21de18f7de0db53648eba82c816b5de2d73","","blue","2026-04-10T20:21:53.703Z","2026chcmp","2026chcmp_qm25","25","","1","","1","1","","","Only robot shooting and can barely shoot ","Sai","2068","2026-04-10T20:21:53.703Z"
"Idle","Idle","","Hub","Not Attempted","Score","Score","30","None","Pass","Pass","","None","Defense","Defense","","None","Pass","Pass","","None","Defense","Pass","","None","Idle","Idle","","None","Not Attempted","69d95bc36596dd6511f962b6","e8d9c8fbefe07e6eb6c46cffb3dca3de4cc068d3ecab95815478b9f288b0e0ce","","blue","2026-04-10T20:21:23.708Z","2026chcmp","2026chcmp_qm25","25","","1","3","","3","","2","","Falco Carey","8590","2026-04-10T20:21:23.708Z"
"Score","None","","Hub","Not Attempted","Idle","None","","None","Idle","None","","None","Idle","None","","None","Idle","None","","None","Intake from Neutral Zone","None","","Heavy","Idle","None","","None","Not Attempted","69d95aab6596dd6511f9628a","96bc26c5f45761732246b95d48341f4fb54e0dbb8aedbb61f90a5fdb540bdbda","","red","2026-04-10T20:16:43.038Z","2026chcmp","2026chcmp_qm24","24","","","","","1","","","Got stuck. Did no defence or passing. No shooting either.","Nidhish","5587","2026-04-10T20:16:43.038Z"
"Score","None","40","Left Trench","Not Attempted","Intake from Neutral Zone","None","40","None","Score","None","40","None","Intake from Neutral Zone","None","40","None","Score","None","40","None","Intake from Neutral Zone","None","","None","Score","None","40","None","Not Attempted","69d95aa36596dd6511f96286","acb799c284f6ff19456ff203819005537d7954f29f669b07b30f4b0f5bddc5a3","","red","2026-04-10T20:16:35.120Z","2026chcmp","2026chcmp_qm24","24","","4","","4","4","","","It's rex bro.","Arihan","1727","2026-04-10T20:16:35.189Z"
"Intake from Neutral Zone","Score","60","Right Trench","Not Attempted","Intake from Neutral Zone","Score","80","None","Intake from Neutral Zone","Score","","None","Score","Score","70","None","Intake from Neutral Zone","Pass","","None","Score","Score","80","None","Score","Intake from Neutral Zone","80","None","Not Attempted","69d95a686596dd6511f96275","bb0143ad64dd8df40d0f21bd8c367ade914d7353d0d676450db0c08eaa432790","","blue","2026-04-10T20:15:36.188Z","2026chcmp","2026chcmp_qm24","24","","5","","5","4","","","got stuck jn auto on second pass but other than that flawless","Falco Carey","449","2026-04-10T20:15:36.188Z"
"Intake from Neutral Zone","Score","20","Left Trench","Not Attempted","Pass","Pass","","None","Intake from Neutral Zone","Intake from Neutral Zone","","None","Score","Score","40","None","Intake from Neutral Zone","Pass","","None","Score","Score","30","None","Score","Score","30","None","Not Attempted","69d95a496596dd6511f96271","597b9ab4314eb6b9a077f8b63a947677cadcfe0ae7c2bfcb3c68fdb05b159694","","blue","2026-04-10T20:15:05.534Z","2026chcmp","2026chcmp_qm24","24","","","","","3","","","","Sai","4099","2026-04-10T20:15:05.534Z"
"Score","None","40","Right Trench","Not Attempted","Score","None","40","None","Score","None","40","None","Score","None","40","None","Score","None","30","None","Score","None","40","None","Score","None","50","None","Not Attempted","69d958676596dd6511f96217","b4a26d7b6860eded438123242a37d9a72f2801e36b4a687bc1d4723f206c53f1","","red","2026-04-10T20:07:03.070Z","2026chcmp","2026chcmp_qm23","23","","4","","4","4","","","Fresta be tuff. Scored a lot.","Arihan","1731","2026-04-10T20:07:03.070Z"
"Score","None","10","Hub","Not Attempted","Intake from Neutral Zone","None","","None","Pass","Defense","","None","Defense","None","","None","Defense","None","","None","Defense","None","","None","Defense","None","","None","Not Attempted","69d958416596dd6511f9620d","bbee4dc60a6906825afd498f15adcc9fbbd023d895e8a3d751c6afb9c3c23966","","red","2026-04-10T20:06:25.534Z","2026chcmp","2026chcmp_qm23","23","","2","2","1","3","","3","Alright defence. Slow shooter horrible intake.","Nidhish","4541","2026-04-10T20:06:25.534Z"
"Idle","Idle","","Left Bump","Not Attempted","Intake from Neutral Zone","Intake from Neutral Zone","","Heavy","Score","Score","30","Light","Intake from Neutral Zone","Intake from Neutral Zone","","Heavy","Score","Score","60","Moderate","Intake from Neutral Zone","Intake from Neutral Zone","","Heavy","Score","Score","70","Moderate","Not Attempted","69d958326596dd6511f9620b","62b0f3cd9d7374d1d1218d0ac9e712fcbcf218bf3e86cbf9c287d574774bf01e","","blue","2026-04-10T20:06:10.113Z","2026chcmp","2026chcmp_qm23","23","","4","","4","4","2","","solid bot","Falco Carey","346","2026-04-10T20:06:10.113Z"
"Score","Intake from Neutral Zone","10","Hub","Not Attempted","Defense","Defense","","None","Defense","Defense","","None","Defense","Defense","","None","Defense","Defense","","None","Intake from Neutral Zone","Intake from Neutral Zone","","None","Score","Score","10","None","Not Attempted","69d9581f6596dd6511f96208","81aa0f9d56e8d9e428a8465ac113144d66e40fbf58fc4cef48b53b471ce4a5bc","","blue","2026-04-10T20:05:51.940Z","2026chcmp","2026chcmp_qm23","23","","","","","2","","","","Sai","1895","2026-04-10T20:05:51.940Z"
"Score","None","20","Right Trench","Not Attempted","Score","None","20","None","Score","None","30","None","Score","None","20","None","Score","None","30","None","Score","None","20","None","Score","None","30","None","Not Attempted","69d956a46596dd6511f961c6","339cf088af90839e8677c4397945c6d79e429d192523b8c386c7cff010a5d4e7","","red","2026-04-10T19:59:32.958Z","2026chcmp","2026chcmp_qm22","22","","3","","3","3","","","","Arihan","3136","2026-04-10T19:59:32.958Z"
